,Country Name,Country Code,year,Agricultural land (% of land area),Agricultural land (sq. km),Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP per capita (current US$),Land area (sq. km),"Population, total",Rural population,Rural population (% of total population),Rural population growth (annual %),Surface area (sq. km)
0,Afghanistan,AFG,1960,57.74591796,377000.0,11.71767301,0.834295773,7650000.0,51.279,32.219,59.77319384,652860.0,8996973.0,8241137.0,91.599,1.58904048,652860.0
1,Afghanistan,AFG,1961,57.74591796,377000.0,11.71767301,0.834295773,7650000.0,51.373,31.649,59.86087388,652860.0,9169410.0,8373138.0,91.316,1.58904048,652860.0
2,Afghanistan,AFG,1962,57.83782128,377600.0,11.79425911,0.823402511,7700000.0,51.457,31.093,58.45801495,652860.0,9351441.0,8512056.0,91.024,1.645478689,652860.0
3,Afghanistan,AFG,1963,57.91440738,378100.0,11.8708452,0.812096146,7750000.0,51.53,30.551,78.70638754,652860.0,9543205.0,8657977.0,90.724,1.699758099,652860.0
4,Afghanistan,AFG,1964,58.01090586,378730.0,11.9474313,0.800428455,7800000.0,51.589,30.022,82.09523071,652860.0,9744781.0,8810646.0,90.414,1.747967051,652860.0
5,Afghanistan,AFG,1965,58.0139693,378750.0,11.9474313,0.783421987,7800000.0,51.631,29.501,101.1083049,652860.0,9956320.0,8970246.0,90.096,1.795233742,652860.0
6,Afghanistan,AFG,1966,58.07217474,379130.0,12.00104157,0.770036981,7835000.0,51.652,28.985,137.5943521,652860.0,10174836.0,9133645.0,89.767,1.805174779,652860.0
7,Afghanistan,AFG,1967,58.17326839,379790.0,12.01482707,0.754236136,7844000.0,51.65,28.468,160.8985889,652860.0,10399926.0,9300654.0,89.43,1.811987204,652860.0
8,Afghanistan,AFG,1968,58.17480011,379800.0,12.01482707,0.737421598,7844000.0,51.623,27.946,129.1083231,652860.0,10637063.0,9475708.0,89.082,1.864675086,652860.0
9,Afghanistan,AFG,1969,58.19930766,379960.0,12.03933462,0.721512908,7860000.0,51.574,27.418,129.3297129,652860.0,10893776.0,9665503.0,88.725,1.983168363,652860.0
10,Afghanistan,AFG,1970,58.21462488,380060.0,12.05465184,0.704336151,7870000.0,51.502,26.88,156.5189394,652860.0,11173642.0,9872695.0,88.357,2.120971106,652860.0
11,Afghanistan,AFG,1971,58.26057654,380360.0,12.1006035,0.688426462,7900000.0,51.411,26.334,159.5675785,652860.0,11475445.0,10095982.0,87.979,2.236465709,652860.0
12,Afghanistan,AFG,1972,58.27589376,380460.0,12.11592072,0.670838417,7910000.0,51.303,25.781,135.3173083,652860.0,11791215.0,10327925.0,87.59,2.271386879,652860.0
13,Afghanistan,AFG,1973,58.2789572,380480.0,12.11592072,0.653235128,7910000.0,51.184,25.222,143.1446495,652860.0,12108963.0,10557926.0,87.191,2.202546577,652860.0
14,Afghanistan,AFG,1974,58.2789572,380480.0,12.11592072,0.637237724,7910000.0,51.058,24.658,173.6537646,652860.0,12412950.0,10772082.0,86.781,2.008092977,652860.0
15,Afghanistan,AFG,1975,58.2789572,380480.0,12.11592072,0.623366716,7910000.0,50.93,24.087,186.5108971,652860.0,12689160.0,10958232.0,86.359,1.713316739,652860.0
16,Afghanistan,AFG,1976,58.2789572,380480.0,12.11592072,0.611136766,7910000.0,50.803,23.508,197.4455076,652860.0,12943093.0,11121482.0,85.926,1.478759868,652860.0
17,Afghanistan,AFG,1977,58.28202065,380500.0,12.11592072,0.600547888,7910000.0,50.678,22.92,224.2247973,652860.0,13171306.0,11259228.0,85.483,1.230950576,652860.0
18,Afghanistan,AFG,1978,58.28202065,380500.0,12.11592072,0.592900278,7910000.0,50.555,22.324,247.3541063,652860.0,13341198.0,11343620.0,85.027,0.746741226,652860.0
19,Afghanistan,AFG,1979,58.28048893,380490.0,12.11592072,0.589811869,7910000.0,50.436,21.72,275.7381976,652860.0,13411056.0,11340121.0,84.558,-0.030850291,652860.0
20,Afghanistan,AFG,1980,58.28048893,380490.0,12.11592072,0.592220528,7910000.0,50.321,21.109,272.6552857,652860.0,13356511.0,11220137.0,84.005,-1.063685808,652860.0
21,Afghanistan,AFG,1981,58.28661581,380530.0,12.11592072,0.600531155,7910000.0,50.21,20.49,264.1113175,652860.0,13171673.0,10990181.0,83.438,-2.070787256,652860.0
22,Afghanistan,AFG,1982,58.28814754,380540.0,12.11592072,0.614009921,7910000.0,50.098,19.865,260.0787124285714,652860.0,12882528.0,10673561.0,82.853,-2.923248871,652860.0
23,Afghanistan,AFG,1983,58.28814754,380540.0,12.11592072,0.630895704,7910000.0,49.984,19.24,256.04610735714283,652860.0,12537730.0,10312659.0,82.253,-3.439757937,652860.0
24,Afghanistan,AFG,1984,58.28814754,380540.0,12.11592072,0.648132641,7910000.0,49.865,18.618,252.01350228571428,652860.0,12204292.0,9962974.0,81.635,-3.449654832,652860.0
25,Afghanistan,AFG,1985,58.28814754,380540.0,12.11592072,0.662578504,7910000.0,49.735,18.005,247.9808972142857,652860.0,11938208.0,9670307.0,81.003,-2.981556477,652860.0
26,Afghanistan,AFG,1986,58.28814754,380540.0,12.11592072,0.673984267,7910000.0,49.586,17.406,243.94829214285716,652860.0,11736179.0,9430372.0,80.353,-2.51245122,652860.0
27,Afghanistan,AFG,1987,58.27436204,380450.0,12.11592072,0.681630128,7910000.0,49.418,16.826,239.91568707142855,652860.0,11604534.0,9247189.0,79.686,-1.961593099,652860.0
28,Afghanistan,AFG,1988,58.26670343,380400.0,12.11592072,0.680839783,7910000.0,49.236,16.268,235.883082,652860.0,11618005.0,9178456.0,79.002,-0.746061468,652860.0
29,Afghanistan,AFG,1989,58.26670343,380400.0,12.11592072,0.666448898,7910000.0,49.048,15.738,231.85047692857145,652860.0,11868877.0,9365968.0,78.912,2.022369538,652860.0
