,TIME_STAMP,song_ID,song_Name,artist,album,album_name,popularity,explicit
0,2023-06-13T09:36:33.562Z,3HD05YfZS6L8ZZD0Gl47Hq,Divide & Conquer,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,21,False
1,2023-06-13T09:32:50.317Z,63PEsIWyy3QgiPy4u5I9pG,Marijuana,Chrome Sparks,2SDRefKHEIs8bWDACXPuVr,Sparks,58,False
2,2023-06-13T09:29:48.613Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False
3,2023-06-13T09:28:09.452Z,3hICiYv3ttunfwawTUYu2O,To be with Sota,RADWIMPS,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),47,False
4,2023-06-12T23:27:32.567Z,5W7XShf7rQwwsmg5Tfi1QG,Aftermath,Kazuma Jinnouchi,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),44,False
5,2023-06-12T23:25:52.618Z,4IP1rM2sH1vwPVfPDLu4TI,Sky Over Tokyo,RADWIMPS,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),56,False
6,2023-06-12T23:21:41.648Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False
7,2023-06-12T22:33:46.673Z,5W7XShf7rQwwsmg5Tfi1QG,Aftermath,Kazuma Jinnouchi,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),44,False
8,2023-06-12T22:32:06.732Z,4IP1rM2sH1vwPVfPDLu4TI,Sky Over Tokyo,RADWIMPS,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),56,False
9,2023-06-12T18:28:54.927Z,6k8FotzHW1yOvtOhyVfHqy,Rocket,Chrome Sparks,5Y0yPA0zZetcpimqsegK1i,Chrome Sparks,34,False
10,2023-06-12T18:21:43.464Z,0I7LQLTTqATsDnQmO9f05f,Blind,Blackbird Blackbird,4SqNB0lPF4H1wWWRTzfAi6,Halo,48,False
11,2023-06-12T18:19:50.922Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False
12,2023-06-12T18:18:09.943Z,0CQ7PrMiWtFD1fnDfZPg96,We Lost,Lapalux,4gcQlf421a5ydYH65ncTrU,Lustmore,44,False
13,2023-06-12T18:12:43.976Z,2CB1NEUh4SFCZbr9nwHuiF,Die Sterne von Alterlaa,Wanda,3i4HfXPwrCcJHhHU4TAh89,Wanda,46,False
14,2023-06-12T18:09:28.898Z,2zOWMmFldKpiKULIIeGd0Q,ANAHOLA,KUNZITE,1CBLxjW6wcV3gUDDHLNlsj,BIRDS DON'T FLY,29,False
15,2023-06-12T18:05:55.922Z,1TrLCDiTHAkjxi7hQEMJID,Lascia mi fare,Wanda,2LbdKT3yojRuoxQH5s9Cgd,Niente,52,False
16,2023-06-12T18:02:18.806Z,2CB1NEUh4SFCZbr9nwHuiF,Die Sterne von Alterlaa,Wanda,3i4HfXPwrCcJHhHU4TAh89,Wanda,46,False
17,2023-06-12T17:59:03.954Z,6Hh6pxNSScePI9zjKBIUg2,Another Love,OsTEKKe,0icW8M6Y5f3Vs8DNhWhtbt,Another Love,71,False
18,2023-06-12T17:56:38.411Z,5FmD6Svf1V4A0ECU9wgsoq,Poveglia,Degs,2j3v5tjHZa2maBpncfEN7Q,Poveglia,52,False
19,2023-06-12T17:51:47Z,3Z0qLOS0cqWKPHXkbTXmNF,Gilded Lily,Cults,3trAc3cGjtbFXbljFVdzZG,Offering,81,False
20,2023-06-12T17:48:13.867Z,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,4B3FsNFguOEJ4TWEsct83B,Romantic Homicide,91,False
21,2023-06-12T17:46:00.555Z,4eKN8RPS06OHyk8dTdempU,Anvil,Lorn,2fiGmNRXBH0QMnkm4jswEr,VESSEL,58,False
22,2023-06-12T17:42:30.987Z,2zOWMmFldKpiKULIIeGd0Q,ANAHOLA,KUNZITE,1CBLxjW6wcV3gUDDHLNlsj,BIRDS DON'T FLY,29,False
23,2023-06-12T17:38:59.230Z,2takcwOaAZWiXQijPHIx7B,Time is Running Out,Muse,0HcHPBu9aaF1MxOiZmUQTl,Absolution,71,False
24,2023-06-12T16:18:14.068Z,2CB1NEUh4SFCZbr9nwHuiF,Die Sterne von Alterlaa,Wanda,3i4HfXPwrCcJHhHU4TAh89,Wanda,46,False
25,2023-06-12T16:15:05.836Z,6QpZXzHcOgXK41Y3YCx203,Little Lies,ODIE,1SgtXskC74No0x9a9iDlfw,Analogue,65,False
26,2023-06-12T16:11:30.977Z,2zOWMmFldKpiKULIIeGd0Q,ANAHOLA,KUNZITE,1CBLxjW6wcV3gUDDHLNlsj,BIRDS DON'T FLY,29,False
27,2023-06-12T16:06:43.007Z,46a2imjeJLAJAMaJghKyFQ,Falkor's Return,Indecorum,4FPf6TQDTjuSKhz33YMJlh,Sanctus,61,False
28,2023-06-12T16:02:41.080Z,1ujhwV5emf0mty9WfjmjRI,Le Matin,Yann Tiersen,35EoNSYMG7mBZPt3a0aebJ,Les retrouvailles,56,False
