,TIME_STAMP,song_ID,song_Name,artist,album,album_name,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,2023-06-13T15:51:39.375Z,5XFktAerFHxM4tp7EhzTrh,Lost,RSCL,1QaaHgza1m23gXfowZ8ZHS,Lost,71,False,0.672,0.868,-6.525,0.0412,0.00185,0.492,0.244,0.491,126.03
1,2023-06-13T15:49:06.026Z,1iURtIUJ6mvLemgdArD3PD,Too Many Questions,Frustration,6DWbp9fsVHF2gQUQH8la0x,Relax,23,True,0.528,0.961,-4.853,0.0372,0.0591,0.732,0.397,0.454,135.123
2,2023-06-13T15:45:27.788Z,6WLKS4RJLn81iL8PI1qcbH,The Beginning,Dirty Art Club,6CUm96j4cY7AFvquKN7XOq,Heavy Starch,37,False,0.437,0.628,-9.125,0.136,0.26,0.2,0.298,0.417,173.05
3,2023-06-13T15:43:44.752Z,2qZWAOE525EyWOavJ0fZfG,Trust,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,17,False,0.318,0.641,-8.556,0.0574,0.0548,0.00395,0.309,0.064,134.863
4,2023-06-13T15:37:42.263Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False,0.52,0.531,-9.296,0.0331,0.177,0.00252,0.0677,0.145,144.093
5,2023-06-13T15:00:31.238Z,2CB1NEUh4SFCZbr9nwHuiF,Die Sterne von Alterlaa,Wanda,3i4HfXPwrCcJHhHU4TAh89,Wanda,46,False,0.726,0.895,-5.565,0.0583,0.446,0.0,0.0825,0.904,134.992
6,2023-06-13T13:44:24.048Z,6QpZXzHcOgXK41Y3YCx203,Little Lies,ODIE,1SgtXskC74No0x9a9iDlfw,Analogue,65,False,0.342,0.294,-15.989,0.0426,0.592,0.674,0.0944,0.132,84.014
7,2023-06-13T13:40:43.525Z,2zOWMmFldKpiKULIIeGd0Q,ANAHOLA,KUNZITE,1CBLxjW6wcV3gUDDHLNlsj,BIRDS DON'T FLY,29,False,0.246,0.627,-5.944,0.0501,0.192,0.0,0.129,0.328,125.726
8,2023-06-13T10:52:43.868Z,2zOWMmFldKpiKULIIeGd0Q,ANAHOLA,KUNZITE,1CBLxjW6wcV3gUDDHLNlsj,BIRDS DON'T FLY,29,False,0.246,0.627,-5.944,0.0501,0.192,0.0,0.129,0.328,125.726
9,2023-06-13T10:49:10.276Z,63PEsIWyy3QgiPy4u5I9pG,Marijuana,Chrome Sparks,2SDRefKHEIs8bWDACXPuVr,Sparks,58,False,0.697,0.655,-9.781,0.15,0.0626,0.774,0.353,0.415,86.969
10,2023-06-13T10:46:08.238Z,2qZWAOE525EyWOavJ0fZfG,Trust,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,17,False,0.318,0.641,-8.556,0.0574,0.0548,0.00395,0.309,0.064,134.863
11,2023-06-13T10:41:36.305Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False,0.52,0.531,-9.296,0.0331,0.177,0.00252,0.0677,0.145,144.093
12,2023-06-13T10:07:36.728Z,1iURtIUJ6mvLemgdArD3PD,Too Many Questions,Frustration,6DWbp9fsVHF2gQUQH8la0x,Relax,23,True,0.528,0.961,-4.853,0.0372,0.0591,0.732,0.397,0.454,135.123
13,2023-06-13T10:03:57.946Z,6WLKS4RJLn81iL8PI1qcbH,The Beginning,Dirty Art Club,6CUm96j4cY7AFvquKN7XOq,Heavy Starch,37,False,0.437,0.628,-9.125,0.136,0.26,0.2,0.298,0.417,173.05
14,2023-06-13T10:02:15.216Z,1Cx8T4WzA1KIYSL8YpZUIA,Divide & Conquer - Noisia Remix,What So Not,3XaUNjcSJ6oyhoaFTqRbLb,Divide & Conquer (Remixes),31,False,0.536,0.923,-4.449,0.106,0.00469,0.554,0.368,0.587,172.083
15,2023-06-13T09:58:25.706Z,0KgA8XQ4HCdKsej7fXNbxV,Severance - Interlude,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,16,False,0.336,0.337,-12.94,0.0399,0.919,0.0493,0.133,0.587,75.775
