,TIME_STAMP,song_ID,song_Name,artist,album,album_name,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,2023-06-15T12:16:28.916Z,1Jmqubf9kGkWeYQXQKImL5,People Are Strange,The Doors,6v5IVMmY1IvWtbfnQoiFSf,Strange Days,77,False,0.699,0.467,-8.578,0.0375,0.685,0.0,0.315,0.764,119.287
1,2023-06-15T12:14:18.332Z,70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,3gBVdu4a1MMJVMy6vwPEb8,Pablo Honey,89,True,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844
2,2023-06-15T12:10:19.524Z,5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,Deep Purple,32NQ56VZDTXSH3SMv4XSGN,Machine Head (Remastered),75,False,0.598,0.676,-9.211,0.0279,0.13,0.225,0.112,0.805,114.169
3,2023-06-15T12:04:38.257Z,4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,7tB40pGzj6Tg0HePj2jWZt,News Of The World (2011 Remaster),81,False,0.692,0.497,-7.316,0.119,0.676,0.0,0.259,0.475,81.308
4,2023-06-15T12:02:35.122Z,2FY7b99s15jUprqC0M5NCT,Natural,Imagine Dragons,3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),83,False,0.704,0.611,-6.112,0.0409,0.217,0.0,0.0812,0.22,100.0
5,2023-06-15T11:59:24.898Z,7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,Marvin Gaye,5LqviduT0g0J0ypFrFSwCE,United,87,False,0.663,0.6,-10.87,0.032,0.43,0.0,0.184,0.8,129.991
6,2023-06-15T11:52:48.073Z,5YMIPOePWrWjjZUQUOriaV,"Turkish March (Concert Paraphrase), based on Rondo alla Turka from Piano Sonata in A Major, K. 331",Wolfgang Amadeus Mozart,5xkEiNcoOn0Y4kWdi9UqbL,Piano Transcriptions,29,False,0.434,0.266,-19.991,0.033,0.986,0.643,0.109,0.702,114.913
7,2023-06-15T11:49:42.893Z,3U7zDuu1GJJ9XBad7nMck9,"Après un Rêve Op. 7, No. 1",Gabriel Fauré,1r3oqrThUYr0XAJ8NCiArx,Faure: Pelléas et Mélisande,25,False,0.164,0.0911,-26.283,0.0461,0.924,0.874,0.0761,0.0525,96.304
8,2023-06-15T11:46:21.056Z,0OtyEzqWZwG6Jk34BIGdV6,"Dvorák: Lasst mich allein (From 4 Lieder, Op. 82, B. 157)",Antonín Dvořák,77NahN2GH3Z5Ss4VAhL6MW,Intuition,15,False,0.241,0.0466,-24.104,0.0463,0.978,0.937,0.138,0.0367,127.914
9,2023-06-15T11:42:09.586Z,456rqz3AYZOSpTqLajBmm9,Bagatelles I-XIII: Bagatelle II,Valentin Silvestrov,6IhZCrHFe56sE3VVCpc1fF,Hélène Grimaud plays Valentin Silvestrov,17,False,0.268,0.0188,-32.225,0.0541,0.994,0.931,0.0691,0.0769,71.311
10,2023-06-15T09:20:17.779Z,6bpmBNPfQ2KFAW0ik6F9Vq,La Valse d'Amélie - Version piano,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),65,False,0.194,0.179,-16.834,0.0422,0.988,0.866,0.0819,0.179,177.694
11,2023-06-15T08:16:30.498Z,7JjXqggnyTGxv7N52pnhEo,Banquet,Yann Tiersen,5v2gcxE2FLNcBHSL8Ut1Jz,The Waltz of the Monsters,49,False,0.535,0.427,-12.62,0.0344,0.85,0.0134,0.118,0.585,116.537
12,2023-06-15T08:14:57.222Z,32H9WcEoHTgitFg6RPNDnv,La redécouverte,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),51,False,0.526,0.375,-14.557,0.0277,0.401,0.371,0.0427,0.821,99.626
13,2023-06-15T08:13:43.824Z,5b077QmDssq5Fy9J2ziJC6,La valse des vieux os,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),50,False,0.484,0.249,-11.357,0.0377,0.932,0.0311,0.225,0.445,121.672
14,2023-06-15T08:11:23.337Z,23eNu1Z3GB7FGvI2VQYhYu,La valse d'Amélie - Version orchestre,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),57,False,0.193,0.335,-8.681,0.0314,0.852,0.131,0.117,0.254,64.078
15,2023-06-15T08:09:23.377Z,1JkIIANK4UJnw3fEMfZrx1,Not That Simple,Yann Tiersen,7ELV10HZC94beTCa9B7n6y,Cascade Street,50,False,0.404,0.552,-12.476,0.0687,0.695,0.875,0.0549,0.513,180.047
16,2023-06-15T08:07:28.022Z,4qRHwcsUkrYFZe2fOlcrAR,A quai,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),52,False,0.466,0.554,-7.752,0.0322,0.809,0.713,0.208,0.412,84.028
17,2023-06-15T08:03:55.117Z,3f0PZlTzwkqS1CJXvEKrHc,L'autre valse d'Amélie,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),57,False,0.515,0.39,-9.544,0.0275,0.706,0.000684,0.137,0.0718,105.981
18,2023-06-15T08:02:21.682Z,14rZjW3RioG7WesZhYESso,"Comptine d'un autre été, l'après-midi",Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),75,False,0.483,0.192,-15.378,0.0469,0.991,0.908,0.106,0.0542,100.848
19,2023-06-15T08:00:01.559Z,7MIN37CiVP1lVjqKNmLMWk,La valse d'Amélie,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),61,False,0.433,0.564,-8.917,0.0405,0.713,0.275,0.117,0.855,192.07
20,2023-06-15T07:57:45.357Z,2pLF0DnGaVTrn3ftVxECIk,Les jours tristes - Instrumental,Yann Tiersen,6PRPYATK5VvjZ2p911y6U0,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),58,False,0.734,0.339,-8.123,0.0325,0.807,0.186,0.0801,0.952,100.081
